"","SampleName","nCNV","meanCNVSize","Std.deviation","minCNVsize","maxCNVsize","nDel","meanDelSize","Del.Std.deviation","minDelSize","maxDelSize","nDup","meanDupSize","Dup.Std.deviation","minDupSize","maxDupSize","MeanTargetExons"
"127","Pseq_batch13_P-Pseq-0047-P-A_1","48","13465.3958333333","24534.126555907","176","152918","31","12536.935483871","15035.4380624255","176","51626","17","15158.4705882353","36600.0448516078","324","152918","3.5"
"128","Pseq_batch13_P-Pseq_0040-P-A_1","53","16715.7547169811","40543.710322178","320","274060","26","16700.2692307692","22346.0977095469","320","75394","27","16730.6666666667","52985.3001813493","320","274060","3.75471698113208"
"129","Pseq_batch14_P-Pseq-0032-P-A_1","45","16420.8","34801.6160835567","320","186875","28","9113.07142857143","14054.7672179323","320","54713","17","28457.0588235294","52439.9222592752","320","186875","4.06666666666667"
"130","Pseq_batch14_P-Pseq-0048-P-A_1","44","10497.2272727273","29320.8309956032","320","192954","25","6694.92","8616.11215456252","320","25270","19","15500.2631578947","43683.7535053456","320","192954","2.75"
"131","Pseq_batch14_P-Pseq-0050-P-A_1","47","16388.3191489362","31926.6330480875","320","199877","27","10974.3333333333","16658.3575305426","320","54713","20","23697.2","44611.4418891788","326","199877","3.34042553191489"
"132","Pseq_batch15_P-Pseq-0053-P-A_1","57","9835.75438596491","14104.2040899168","319","57565","30","9208.4","14719.3925746111","320","57565","27","10532.8148148148","13632.4256406922","319","44895","3.35087719298246"
"133","Pseq_batch15_P-Pseq-0054-P-A_1","48","22253.1041666667","57652.158068976","320","331832","31","14062.9677419355","26742.0407492072","320","134620","17","37188.0588235294","89753.768386396","320","331832","3.66666666666667"
"134","Pseq_batch16_P-Pseq-0018-P-A_1","46","39099.1304347826","185582.454157068","320","1262753","28","11483.1071428571","16625.4889236695","320","54713","18","82057.3888888889","295834.181897491","320","1262753","7.3695652173913"
"135","Pseq_batch16_P-Pseq-0049-P-A_1","47","20079.9787234043","54293.147195287","320","348801","30","19236.5666666667","63322.1250017463","320","348801","17","21568.3529411765","34691.7269153273","320","134620","3.95744680851064"
"136","Pseq_batch16_P-Pseq-0052-P-A_1","75","10292.0533333333","15776.0855315829","320","82987","43","10317.6744186047","17469.50537327","320","82987","32","10257.625","13440.0732230868","320","54713","2.97333333333333"
"137","Pseq_batch16_P-Pseq-0055-P-A_1","42","15161.2142857143","33003.3373874379","320","189514","24","6508.25","12092.826045258","320","45745","18","26698.5","46716.706279005","320","189514","4.07142857142857"
"138","Pseq_batch16_P-Pseq-0056-P-A_1","45","10193.3333333333","15063.0774563017","320","54713","29","9469.10344827586","16502.5476525484","320","54713","16","11506","12423.9093042408","320","35896","3.15555555555556"
"139","Pseq_batch16_P-Pseq-0057-P-A_1","49","32729.8979591837","113369.154239819","320","578297","30","8302.23333333333","13973.7323444144","320","53757","19","71299.8947368421","177183.812805263","320","578297","5.91836734693878"
"140","Pseq_batch16_P-Pseq-0059-P-A_1","64","13709.109375","28683.533047708","319","202405","36","10474.6388888889","16336.6182514756","319","60831","28","17867.7142857143","39266.9422286663","320","202405","3.453125"
"141","Pseq_batch16_P-Pseq-0060-P-A_1","45","13544.6888888889","29984.211664279","320","189514","23","10424.8260869565","14854.130131663","320","52455","22","16806.3636363636","40382.8209356233","324","189514","3.44444444444444"
"142","Pseq_batch17_P-PSeq0061-P-A_1","55","15946.6545454545","30092.3730790145","320","194681","31","11682.7419354839","16700.7167250745","320","53757","24","21454.2083333333","41305.1877623761","320","194681","3.56363636363636"
"143","Pseq_batch17_P-PSeq0063-P-A_1","49","16891.9591836735","48728.8076051867","320","339254","28","9712.10714285714","11476.3686905497","320","44732","21","26465.0952380952","73161.3968544237","320","339254","4.89795918367347"
"144","Pseq_batch17_P-PSeq0064-P-A_1","48","14931.6458333333","29279.1800100923","319","138577","29","7243","11724.6665441465","319","52455","19","26666.9473684211","42237.1858891002","385","138577","3.97916666666667"
"145","Pseq_batch17_P-PSeq0065-P-A_1","54","21378.6296296296","60193.0438801557","320","404354","34","10521.6764705882","13903.3849415008","320","47704","20","39835.45","95924.8382852429","320","404354","5.2962962962963"
