"","SampleName","nCNV","meanCNVSize","Std.deviation","minCNVsize","maxCNVsize","nDel","meanDelSize","Del.Std.deviation","minDelSize","maxDelSize","nDup","meanDupSize","Dup.Std.deviation","minDupSize","maxDupSize","MeanTargetExons"
"31","CPF1406003_P-Pseq-0111-P-A_1_1","189","3141.28042328042","8355.62124781287","151","54713","150","2924.39333333333","8063.11538363976","151","52455","39","3975.46153846154","9464.934339156","320","54713","1.65079365079365"
"32","CPF1406003_P-Pseq-0113-P-A_1_1","148","4627.17567567568","18004.5003341346","151","189514","103","2689.96116504854","8605.64727478909","151","54153","45","9061.24444444444","29705.6415074764","320","189514","1.66891891891892"
"33","CPF1406005_P-Pseq-0115-P2-A_1_1","49","10616.7959183673","14518.0654788835","320","54713","28","11353.6428571429","15138.4075834951","320","48704","21","9634.33333333333","13953.6073054008","320","54713","3.30612244897959"
"34","CPF1406005_P-Pseq-0116-P-A_1_1","72","22622.9583333333","122201.973215373","320","1040186","40","9228.55","13545.2047602624","320","52455","32","39365.96875","182894.605140719","320","1040186","2.93055555555556"
"35","CPF1407005_P-Pseq-0112-P-A_1_1","50","16692","40012.0094027903","218","240453","27","9946.22222222222","16592.305441734","218","54377","23","24610.9565217391","55848.0846432195","320","240453","4.08"
"36","CPF1407005_P-Pseq-0115-P1-A_1_1","47","10908.5744680851","16579.1673779301","218","68760","28","9045.53571428571","14197.7902596825","218","48704","19","13654.1052631579","19665.2149997986","376","68760","3.19148936170213"
"37","CPF1407005_P-Pseq-0117-P1-A_1_1","52","18535.8461538462","28770.7083540109","218","134620","27","14488.5185185185","20303.7469777424","218","82779","25","22906.96","35693.8322116954","320","134620","4.42307692307692"
"38","CPF1407005_P-Pseq-0117-P2-A_1_1","63","10331.3015873016","18760.7280385546","176","81145","33","8174.33333333333","12234.9010204074","218","52455","30","12703.9666666667","24003.7612318302","176","81145","3.31746031746032"
"39","CPF1407005_P-Pseq-0120-P-A_1_1","46","10024","29283.3863152623","218","189514","27","4916.40740740741","9441.08386565889","218","35058","19","17282.1578947368","43821.2706054227","320","189514","2.41304347826087"
"40","CPF1407005_P-Pseq-0121-P-A_1_1","39","7344.28205128205","14069.651587256","218","64775","21","8333.42857142857","17242.9379792755","218","64775","18","6190.27777777778","9491.16537693967","319","35896","2.41025641025641"
"41","CPF1407005_P-Pseq-0122-P-A_1_1","37","44176","210178.981044992","218","1285097","21","9426.19047619048","13904.3100606217","218","52001","16","89785.125","319144.600333846","320","1285097","7.48648648648649"
"42","CPF1407005_P-Pseq-0123-P-A_1_1","57","16853.6666666667","29719.8167211791","218","189514","36","15593.6111111111","21039.6303719267","218","90718","21","19013.7619047619","41118.4410184831","319","189514","3.19298245614035"
"43","CPF1407005_P-Pseq-0124-P-A_1_1","46","10361.5217391304","16425.8321388925","320","74267","24","6168.125","7738.24239291596","320","23310","22","14936.1363636364","21692.3106483895","320","74267","3.80434782608696"
"44","CPF1407005_P-Pseq-0125-P-A_1_1","59","10920.7627118644","20449.4035612702","320","105973","36","9093.66666666667","15878.1725342865","320","75394","23","13780.5652173913","26217.5986571583","320","105973","3.13559322033898"
"45","CPF1407014_P-Pseq-0119-P-A_2_1","45","11286.8222222222","31067.4104337421","320","202405","27","6293.07407407407","8747.61962754143","320","28064","18","18777.4444444444","47771.0661202096","320","202405","2.84444444444444"
"46","CPF1407014_P-Pseq-0126-P-A_2_1","46","6519","11818.1351452381","320","52455","24","7482.79166666667","12874.8860661203","320","52455","22","5467.59090909091","10748.0204541031","320","41290","2.82608695652174"
"47","CPF1407014_P-Pseq-0128-P1-A_2_1","52","8064.23076923077","10721.3773873955","320","35908","30","9930.2","11441.624961155","320","35908","22","5519.72727272727","9307.03196606287","320","34101","2.92307692307692"
"48","CPF1407014_P-Pseq-0128-P2-A_2_1","54","7265.09259259259","9959.08226670703","320","34101","32","7912.25","10135.1905340398","320","34056","22","6323.77272727273","9854.74360484919","320","34101","2.57407407407407"
"49","CPF1407014_P-Pseq-0129-P-A_2_1","50","11666.78","18017.1783712327","320","71824","29","10065.8275862069","16120.2861195562","320","71824","21","13877.619047619","20558.6517225138","320","62707","3.14"
"50","CPF1408010_P-Pseq-0130-P-A_1_1","66","8772.12121212121","15138.7069130909","218","54713","32","4927.375","10837.0379888126","218","47704","34","12390.7058823529","17699.356494944","319","54713","2.60606060606061"
"51","CPF1408010_P-Pseq-0132-P-A_1_1","48","9082.33333333333","14401.8971509346","320","62838","29","7813.37931034483","13707.9588311051","320","48811","19","11019.1578947368","15579.7032858038","320","62838","2.83333333333333"
"52","CPF1410001_P-Pseq_0094-P-A_1_1","54","68855.8518518519","437818.919794578","319","3222340","30","7431.43333333333","10645.2250966089","320","39639","24","145636.375","656120.531644434","319","3222340","7.24074074074074"
"53","CPF1410001_P-Pseq_0133-P-A_1_1","47","28445.4042553192","97505.3426056099","320","650318","24","12602.2083333333","28491.1937210494","320","134620","23","44977.4347826087","135906.881289034","320","650318","3.72340425531915"
"54","CPF1410001_P-Pseq_0134-P-A_1_1","51","18017.4117647059","48552.6770706524","319","315390","33","12238.5757575758","26939.1515503346","319","143289","18","28611.9444444444","73373.6299653414","320","315390","4.35294117647059"
"55","CPF1410001_P-Pseq_0135-P-A_1_1","43","7771.97674418605","12558.5934371049","320","58838","22","9393.54545454545","16218.0340559728","320","58838","21","6073.19047619048","7007.8458146498","320","24245","2.67441860465116"
"56","CPF1410001_P-Pseq_0137-P-A_1_1","53","13230.6037735849","29287.1773040035","320","151858","30","7106.53333333333","11805.4689452004","320","54713","23","21218.5217391304","41542.9827165569","320","151858","3.07547169811321"
"57","CPF1410001_P-Pseq_0139-P-A_1_1","64","12338.390625","31928.1668315915","319","202405","36","7348.44444444444","10999.7000230381","320","41290","28","18754.0357142857","46323.7585658304","319","202405","3.125"
"58","CPF1410001_P-Pseq_0140-P-A_1_1","79","11514.5063291139","22877.4751301381","320","151858","48","13660.0416666667","27183.4284069481","320","151858","31","8192.38709677419","13577.3572040055","320","54713","2.9493670886076"
"59","CPF1410001_P-Pseq_0141-P-A_1_1","62","8845.22580645161","13935.3701044563","320","75394","40","9403.05","14627.552879009","320","75394","22","7831","12847.3510517779","320","54713","3.37096774193548"
"60","CPF1410001_P-Pseq_0142-P-A_1_1","46","13553.5217391304","31061.7323640371","319","189514","25","10039","14098.3009555525","320","53757","21","17737.4761904762","43572.1832602167","319","189514","3.65217391304348"
"61","CPF1410001_P-Pseq_0144-P-A_1_1","57","9541.0350877193","17381.8939817157","320","87203","31","6907.38709677419","12045.438814969","320","52576","26","12681.1538461538","21995.5698424793","320","87203","3.19298245614035"
"62","CPF1410001_P-Pseq_0146-P-A_1_1","46","8431.54347826087","12427.2247491037","320","52455","24","9165.54166666667","13923.040119604","320","52455","22","7630.81818181818","10832.0654699979","320","36175","2.76086956521739"
"63","CPF1412001_P-PSeq-0118-P-A_1_1","41","7503.68292682927","11687.7139797289","176","54713","21","4527.14285714286","8009.23301749746","320","23978","20","10629.05","14141.6444717646","176","54713","2.68292682926829"
"64","CPF1412001_P-PSeq-0127-P-A_1_1","48","16634.75","42025.5111556495","320","248369","26","12496.7692307692","31457.0453047424","320","151858","22","21525.0909090909","52235.1695014813","320","248369","2.9375"
"65","CPF1412001_P-PSeq-0147-P-A_1_1","46","10882.7608695652","20478.6867972911","320","91729","23","12893.9130434783","22628.3484592247","320","91729","23","8871.60869565217","18366.1775028772","320","74267","3.43478260869565"
"66","CPF1412001_P-PSeq-0148-P-A_1_1","56","16015.7142857143","42124.8127263015","320","302505","36","19687.3888888889","51174.2731035138","320","302505","20","9406.7","15526.4955787806","320","62116","3.19642857142857"
"67","CPF1412001_P-PSeq-0150-P-A_1_1","52","14612.6346153846","38610.3786636463","320","257145","27","6093.22222222222","10833.2274128944","320","44732","25","23813.6","53580.6963778312","320","257145","3.98076923076923"
"68","CPF1412001_P-PSeq-0151-P-A_1_1","55","32693.3090909091","152357.682303467","320","1127153","32","45007.625","198814.357492961","320","1127153","23","15560.347826087","27426.8214819142","320","121335","2.94545454545455"
"69","CPF1412001_P-PSeq-0154-P-A_1_1","41","22264","65760.3059854499","292","423592","20","34068.85","93090.323222169","320","423592","21","11021.2857142857","12010.1949865223","292","36743","5.63414634146341"
"70","CPF1412001_P-PSeq-0155-P-A_1_1","49","7968.59183673469","19530.5576607086","319","121335","29","6829.65517241379","12782.6605275491","320","52455","20","9620.05","26795.5071557567","319","121335","2.55102040816327"
"71","CPF1412001_P-PSeq-0156-P-A_1_1","59","8705.08474576271","17463.50988864","319","106424","37","7048.05405405405","11497.5560976766","319","47704","22","11491.9090909091","24550.3101365516","320","106424","2.88135593220339"
"72","CPF1412001_P-PSeq-0157-P-A_1","54","12600.6481481481","22815.2731773451","319","134620","29","16138.0344827586","28075.2819595086","320","134620","25","8497.28","14045.1994542619","319","54713","3.09259259259259"
"73","CPF1412001_P-PSeq-0158-P-A_1_1","58","16378.2413793103","41979.4700104916","320","271906","32","6159.5625","8473.70708355577","320","28458","26","28955.0769230769","60256.0304148377","320","271906","4.29310344827586"
"74","CPF1412001_P-PSeq-0159-P-A_1_1","40","24818.575","74600.3671084277","320","474930","24","11831.0416666667","14604.9027458446","320","51679","16","44299.875","116050.80541836","385","474930","6.025"
"75","CPF1412001_P-PSeq-0160-P-A_1_1","51","11984.6274509804","30548.9556744323","320","202405","29","6721.27586206897","11200.8644624822","320","54377","22","18922.6818181818","44339.965866974","320","202405","2.90196078431373"
"76","CPF1412001_P-PSeq-0161-P-A_1_1","46","9615.4347826087","15233.6139400153","319","60831","22","13075.9545454545","19739.4387928071","319","60831","24","6443.29166666667","8736.04789005411","320","32036","2.93478260869565"
"77","CPF1412001_P-PSeq-0162-P-A_1_1","47","10992.4680851064","19877.795246533","320","95097","29","9116.31034482759","14380.5363179926","320","52455","18","14015.1666666667","26699.7414996299","320","95097","2.76595744680851"
"78","P-PSeq_0062-P-A_1","64","9043.296875","14990.0212942654","253","59589","35","8094","13261.583702338","253","47704","29","10189","17015.7205128501","320","59589","2.75"
"79","P-PSeq_0066-P-A_1","59","7739.64406779661","11429.2688301491","320","52455","34","9575.23529411765","13201.3686940978","320","52455","25","5243.24","8049.22887755922","320","34101","2.8135593220339"
"80","P-PSeq_0131-P-A_1","67","8566.0447761194","12914.8985700129","319","48646","32","5557.625","10709.9380400906","320","47704","35","11316.6","14243.9303073274","319","48646","2.7910447761194"
"81","P-PSeq_0136-P-A_1","51","11397.9215686275","14913.6402314702","320","74267","26","14005.7692307692","13274.4490395879","320","48704","25","8685.76","16272.2158404031","320","74267","3.23529411764706"
"82","P-PSeq_0143-P-A_1","64","5362.515625","8996.86552293893","320","35058","34","5309.73529411765","9764.04741993384","320","35058","30","5422.33333333333","8206.67418601484","320","34101","2.078125"
"83","P-PSeq_0145-P-A_1","57","7898.15789473684","21665.0830722662","320","151858","30","11089.0666666667","28960.1791072921","320","151858","27","4352.7037037037","7120.19160186673","320","24855","2.57894736842105"
"84","P-PSeq_0152-P-A_1","45","13404.0888888889","31305.6347330217","320","189514","26","6133.34615384615","11318.065735601","320","47704","19","23353.5263157895","45131.9826304146","353","189514","3.2"
"85","P-PSeq_0163-P-A_1","43","8059.60465116279","12924.9559272336","320","54713","26","6502.07692307692","10463.1813094224","320","44732","17","10441.7058823529","16046.4096598145","320","54713","2.93023255813953"
"86","P-PSeq_0164-P-A_1","42","6775.64285714286","12522.8684234989","320","55302","27","7599.85185185185","14381.3610586858","320","55302","15","5292.06666666667","8455.52547549037","320","24961","2.4047619047619"
"87","P-PSeq_0165-P-A_1","60","8093.16666666667","13796.227171772","320","77767","38","8204.34210526316","14785.4640656476","320","77767","22","7901.13636363636","12227.9308699989","320","54924","2.85"
"88","P-PSeq_0166-P-A_1","48","10215.875","20017.2814865481","319","114641","28","12287.5357142857","23052.8255703386","320","114641","20","7315.55","14859.7142406292","319","59589","3.27083333333333"
"89","P-PSeq_0168-P-A_1","56","16890.9642857143","44126.9471053127","319","259287","33","7549.75757575758","12835.6906028423","320","52455","23","30293.5652173913","65647.8725542061","319","259287","2.92857142857143"
"90","P-PSeq_0170-P-A_1","54","16341.0555555556","34582.5000424425","320","202651","35","10316.1428571429","15194.817222335","320","53757","19","27439.5789473684","53709.3293823499","320","202651","3.12962962962963"
"91","P-PSeq_0171-P-A_1","39","9236.30769230769","13487.2867763329","320","52455","22","10119.5909090909","15581.879193654","320","52455","17","8093.23529411765","10530.8820293543","320","34101","3.05128205128205"
"92","P-PSeq_0172-P-A_1","49","8793.57142857143","14042.3052357273","320","57609","33","8949.60606060606","13782.4594048454","320","52455","16","8471.75","15019.7328049914","320","57609","2.55102040816327"
"93","P-PSeq_0173-P-A_1","38","15545.0526315789","35727.8214265724","320","189514","18","9964.66666666667","13617.9482129068","320","47704","20","20567.4","47579.3079509858","320","189514","3.57894736842105"
"94","P-PSeq_0174-P-A_1","49","13309.8571428571","24740.5064351291","320","138754","24","10920.9583333333","18744.4319720473","320","63506","25","15603.2","29602.1270280251","320","138754","3.26530612244898"
"95","P-PSeq_0175-P-A_1","76","14979.6447368421","61399.830321091","151","527481","43","8349.95348837209","16237.7993831464","320","75394","33","23618.3333333333","91398.6460764281","151","527481","3.01315789473684"
